superkingdom	kingdom	phylum	ERZ8580415_FASTA	ERZ11848497_FASTA	ERZ6778701_FASTA	ERZ8738822_FASTA	ERZ8733621_FASTA	ERZ8579358_FASTA	ERZ6778834_FASTA	ERZ6778577_FASTA	ERZ8733632_FASTA	ERZ8733623_FASTA	ERZ8733618_FASTA	ERZ8579990_FASTA	ERZ8579332_FASTA	ERZ8578522_FASTA	ERZ8578505_FASTA	ERZ11848502_FASTA	ERZ8733604_FASTA	ERZ6778699_FASTA	ERZ11848504_FASTA	ERZ11848501_FASTA	ERZ11848500_FASTA	ERZ6778423_FASTA	ERZ6778355_FASTA	ERZ11848499_FASTA	ERZ11848498_FASTA	ERZ8579323_FASTA	ERZ6778509_FASTA	ERZ6778357_FASTA	ERZ6778286_FASTA	ERZ11848505_FASTA	ERZ11848503_FASTA	ERZ6778216_FASTA	ERZ6778156_FASTA	ERZ6778252_FASTA	ERZ5402484_FASTA	ERZ5402369_FASTA	ERZ11848506_FASTA	ERZ11848495_FASTA	ERZ8578527_FASTA	ERZ5402371_FASTA	ERZ6778277_FASTA	ERZ6778215_FASTA	ERZ6762932_FASTA	ERZ6747575_FASTA	ERZ5402319_FASTA	ERZ5402364_FASTA	ERZ5402418_FASTA	ERZ5402580_FASTA	ERZ5402476_FASTA	ERZ5402471_FASTA	ERZ5402297_FASTA	ERZ5402281_FASTA	ERZ5402200_FASTA	ERZ5402190_FASTA	ERZ5402530_FASTA	ERZ5402506_FASTA	ERZ5402443_FASTA	ERZ5402431_FASTA	ERZ5402382_FASTA	ERZ5402351_FASTA	ERZ8733638_FASTA	ERZ5402342_FASTA	ERZ5402327_FASTA	ERZ5402317_FASTA	ERZ5402194_FASTA	ERZ5402186_FASTA	ERZ5402182_FASTA	ERZ5402157_FASTA	ERZ5402181_FASTA	ERZ5402179_FASTA	ERZ5402177_FASTA	ERZ5402172_FASTA	ERZ5402171_FASTA	ERZ5402170_FASTA	ERZ5402168_FASTA	ERZ5402161_FASTA	ERZ5402160_FASTA	ERZ5402155_FASTA	ERZ8733620_FASTA	ERZ8733614_FASTA	ERZ8580309_FASTA	ERZ11848496_FASTA	ERZ5402542_FASTA	ERZ5402156_FASTA	ERZ8733628_FASTA
Bacteria	Unassigned	Unassigned	52	18	47	27	60	33	22	44	50	30	34	17	28	46	24	37	21	18	40	46	31	62	24	35	32	29	33	27	16	42	29	9	22	20	20	9	22	49	55	7	3	14	4	3	9	9	11	13	1	13	11	4	2	3	3	1	0	1	4	12	58	4	10	11	2	0	0	3	0	0	1	0	0	0	1	1	0	0	29	49	31	53	5	0	41
Bacteria	Unassigned	Verrucomicrobia	23	0	0	0	7	3	0	0	12	0	6	0	1	12	12	5	0	9	0	19	6	13	0	6	2	2	3	1	0	5	0	1	1	5	2	2	0	9	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	4	7	4	0	0	10
Eukaryota	Fungi	Ascomycota	0	0	0	4	0	3	0	0	3	1	0	0	0	3	2	0	2	0	2	0	3	1	0	2	2	2	0	2	0	0	1	0	1	3	0	0	5	0	0	2	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	0	0
Eukaryota	Fungi	Chytridiomycota	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota	Metazoa	Annelida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	1	0	0	0	1	1	0	0	2	3	0	0	0	0	0	4	0	0	2	3	0	0	0	0	0	1	2	0	1	2	1	3	4	0	1	0	0	1	1	6	2	2	0	4	0	0	1	0	1	2	0	1	0	0	1	2	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1
Eukaryota	Metazoa	Chaetognatha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	2	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota	Metazoa	Cnidaria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1	3	0	0	0	2	1	2	0	1	0	0	0	0	1	0	0	1	0	0	2	2	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
Eukaryota	Metazoa	Mollusca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Nematoda	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota	Metazoa	Tardigrada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Unassigned	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota	Metazoa	Xenacoelomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Bacillariophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota	Unassigned	Cercozoa	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Ciliophora	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Eukaryota	Unassigned	Discosea	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
Eukaryota	Unassigned	Euglenozoa	5	1	0	2	0	1	0	1	5	0	0	0	0	0	2	0	3	0	0	2	1	0	0	4	0	2	1	0	0	0	1	0	3	0	0	0	0	0	2	2	0	1	0	3	0	1	3	2	2	0	1	1	0	0	4	3	0	0	0	0	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Eukaryota	Unassigned	Foraminifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Haptista	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Eukaryota	Unassigned	Parabasalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota	Unassigned	Picozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Tubulinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota	Unassigned	Unassigned	11	3	3	6	9	6	0	4	8	2	4	0	1	6	16	3	5	6	2	12	12	6	0	14	0	10	31	6	4	12	18	8	48	3	12	2	5	15	11	20	0	8	4	7	3	11	4	5	0	4	6	2	0	1	3	10	1	1	9	1	7	9	11	14	0	0	0	0	1	2	0	0	0	0	0	0	1	0	22	5	6	8	9	0	2
Eukaryota	Viridiplantae	Chlorophyta	0	0	0	1	3	0	0	0	3	2	0	3	2	4	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1
Eukaryota	Viridiplantae	Streptophyta	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	3	0	0	0	1	0	2	0	2	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0
Eukaryota	Viridiplantae	Unassigned	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Unassigned	Unassigned	Unassigned	52	25	32	48	61	47	28	48	47	51	44	31	49	35	36	55	17	24	43	51	47	52	26	31	44	29	27	32	33	48	53	35	27	21	13	7	39	51	57	24	7	27	32	18	18	16	19	20	11	31	26	22	1	0	16	14	8	11	22	9	40	20	12	10	0	0	0	1	1	1	0	0	0	0	0	0	0	0	22	34	45	51	29	0	41
